Subject,Accuracy,Std
1,0.631868131868132,0.1224177797066692
2,0.46923076923076923,0.20870732843713066
3,0.7510989010989011,0.09960221572156581
4,0.6262820512820513,0.12979938245006464
5,0.6346153846153847,0.11823404729953382
6,0.5227272727272727,0.11558927953188274
7,0.595054945054945,0.14816940372905923
8,0.8791208791208792,0.08401384581779078
9,0.843939393939394,0.13078662902764587
